LATITUDE,LONGITUDE,DISTRICT_CODE,ADDRESS,CITY,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,SCHOOL_LEVEL,ENROLL_16_17,AEC,CHARTER,MINORITY_PERCENT,FRL_PERCENT,SPED_PERCENT,ELL_PERCENT,17_SPF_FINAL,17_SPF_SCORE
39.9694071,-105.5174385,480,#1 SUNDOWN TRAIL,NEDERLAND,BOULDER VALLEY RE 2,6208,NEDERLAND ELEMENTARY SCHOOL,E,287,N,N,0.11,0.27,0.18,0.04,Performance,0.76
39.6446973,-106.6061809,910,0022 MEILE LANE,EDWARDS,EAGLE COUNTY RE 50,2530,EDWARDS ELEMENTARY SCHOOL,E,305,N,N,0.64,0.50,0.13,0.50,Performance,0.69
39.6423024,-106.5723188,910,0256 CEMEMTARY ROAD,EDWARDS,EAGLE COUNTY RE 50,205,RED CANYON HIGH SCHOOL,H,172,Y,N,0.76,0.57,0.17,0.38,Improvement,0.30
39.4451643,-108.0180112,1220,0364 SIPRELLE DRIVE,PARACHUTE,GARFIELD 16,8274,GRAND VALLEY MIDDLE SCHOOL,M,260,N,N,0.42,0.54,0.07,0.18,Performance,0.56
39.6255839,-106.4981048,8001,0375 YODER AVE,AVON,CHARTER SCHOOL INSTITUTE,653,STONE CREEK SCHOOL,E,193,N,Y,0.29,0.15,0.15,0.20,Performance,0.73
39.6255839,-106.4981048,8001,0375 YODER AVE,AVON,CHARTER SCHOOL INSTITUTE,653,STONE CREEK SCHOOL,M,91,N,Y,0.29,0.15,0.15,0.20,Performance,0.83
39.5957635,-106.0119678,3000,0727 COVE BOULEVARD,DILLON,SUMMIT RE-1,8385,SUMMIT COVE ELEMENTARY SCHOOL,E,282,N,N,0.25,0.23,0.07,0.15,Performance,0.65
39.4279183,-108.0452825,1220,0741 TAMARISK TRAIL,PARACHUTE,GARFIELD 16,3578,BEA UNDERWOOD ELEMENTARY SCHOOL,E,337,N,N,0.41,0.61,0.07,0.26,Improvement,0.49
39.9298726,-105.0753738,480,1 EAGLE WAY,BROOMFIELD,BOULDER VALLEY RE 2,1070,BROOMFIELD HIGH SCHOOL,H,1605,N,N,0.28,0.16,0.07,0.03,Performance,0.70
37.9251706,-104.9291208,2700,1 HIGH SCHOOL DRIVE,RYE,PUEBLO COUNTY 70,7534,RYE HIGH SCHOOL,H,242,N,N,0.21,0.35,0.15,N/A,Performance,0.70
39.5703609,-105.1614832,1420,1 WHITE OAK DRIVE,LITTLETON,JEFFERSON COUNTY R-1,950,BRADFORD PRIMARY SCHOOL,E,436,N,N,0.11,N/A,0.08,0.02,Performance,1.00
