FID,OBJECTID,STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,GEOID_Data,GEOID_NUM,FIN_NAME,DIST_NAME,DIST_PLAN,DIST_CODE,DIST_DPFSC,EN_07,EN_08,EN_09,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,F5_NUM_CHG,PPR,PPR MLO,PPR (Includes MLO),MLO Sharing (%),F5_YEAR_GR,POP_TOT,POP_POV,K12_POV,HH_INCOME,ELEM_POP,MIDDLE_POP,HIGH_POP,K12_POP,PERCENT_MINORITY,FRL_PERCENT,ELL_PERCENT,IEP_PERCENT,POV_P,ELEM_QUAL,MIDDLE_QUA,HIGH_QUAL,ELEM_NEED,MI_NEED,HIGH_NEED,Shape__Area,Shape__Length
1,1028,8,6780,806780,Stratton School District R-4,0,PK,12,G5420, ,E,877947079,226321,39.283643,-102.5678827,1.612231552,0.091669717,97000US0806780,806780,STRATTON,STRATTON R-4,Accredited,1480,66,234,207,209,215,174,186,186,212,217,213,27,11728,589,12317,N/A,14.5,994,203,65,44716,70,52,83,205,0.23,0.563157895,0.117370892,0.169014085,0.3171,137,35,41,-67,17,42,1467488188,217919.3991
2,1029,8,6810,806810,Summit School District RE-1,0,PK,12,G5420, ,E,1332646560,19021697,39.5913789,-106.0810912,2.39567837,0.141729341,97000US0806810,806810,SUMMIT,SUMMIT RE-1,Accredited,3000,69,3062,3067,3089,3124,3151,3156,3287,3345,3506,3557,401,7914,1815,9730,N/A,12.7,28501,3914,667,67917,1533,929,1008,3469,0.3978,0.324308417,0.250773123,0.104863649,0.1923,1498,756,915,35,173,93,2279192315,298746.0638
3,1030,8,6840,806840,Swink School District 33,0,KG,12,G5420, ,E,164138194,741613,37.9638977,-103.6339068,0.748923134,0.016904154,97000US0806840,806840,SWINK,SWINK 33,Accredited,2570,68,369,374,378,374,355,346,336,351,381,366,20,9393,44,9437,N/A,5.8,1314,172,71,49063,115,61,87,264,0.3251,0.428961749,0,0.095628415,0.2689,167,93,106,-52,-32,-19,265698892.5,94881.7683
4,1031,8,6870,806870,Telluride School District R-1,0,KG,12,G5420, ,E,895177207,1386277,37.972765,-107.9481907,1.533114793,0.091912895,97000US0806870,806870,TELLURIDE,TELLURIDE R-1,Distinction,2830,85,715,710,699,697,752,806,842,898,935,900,94,10202,2000,12202,N/A,11.7,5951,564,76,60028,425,209,236,869,0.21,0.232222222,0.123333333,0.084444444,0.0875,247,201,269,178,8,-33,1444726377,193176.1186
5,1032,8,6900,806900,Northglenn-Thornton School District 12,0,PK,12,G5420, ,E,156506120,2409169,39.9247561,-104.9911464,0.727962847,0.016742977,97000US0806900,806900,NORTHGLENN,ADAMS 12 FIVE STAR SCHOOLS,Accredited,20,61,38821,40818,41949,41957,42990,43268,42230,38701,39287,38818,-4450,7494,957,8451,0.03,-10.3,222679,22588,5895,66968,21842,10159,12255,44256,0.4973,0.395881978,0.18749034,0.103792055,0.1332,15133,8094,6823,6709,2065,5432,270561827.6,92297.57272
6,1033,8,6930,806930,Plainview School District RE-2,0,KG,12,G5420, ,E,1372522110,2708561,38.4361952,-102.2460083,1.620468614,0.141904826,97000US0806930,806930,PLAINVIEW,PLAINVIEW RE-2,Improvement,1440,59,61,79,83,85,90,80,72,66,62,63,-17,14826,1085,15910,N/A,-21.3,324,40,18,38750,49,32,25,105,0.127,0.603448276,0,0.19047619,0.1714,0,0,22,49,32,3,2245112371,201739.0894
7,1034,8,6960,806960,Trinidad School District 1,0,PK,12,G5420, ,E,633169959,5308076,37.1637911,-104.6035462,1.581700423,0.064775875,97000US0806960,806960,TRINIDAD,TRINIDAD 1,Improvement,1580,54,1493,1540,1401,1352,1365,1198,1019,1025,1040,1040,-158,8201,0,8201,N/A,-13.2,9224,1518,245,42625,631,409,394,1434,0.7702,0.75,0.031730769,0.141346154,0.1709,0,236,0,631,173,394,1007304209,197315.7283
8,1035,8,6990,806990,Vilas School District RE-5,0,PK,12,G5420, ,E,466580637,0,37.3367461,-102.4333782,1.189644355,0.047440353,97000US0806990,806990,VILAS,VILAS RE-5,Improvement,260,47,3789,487,415,354,289,216,127,104,52,42,-174,15854,0,15854,N/A,-80.6,354,66,35,39375,56,28,13,97,0.2619,N/A,0,0.142857143,0.3608,21,1,13,35,27,0,739398584.8,149550.4569
9,1036,8,7050,807050,North Park School District R-1,0,PK,12,G5420, ,E,4179536193,18750017,40.6634319,-106.3292476,3.771639128,0.447106259,97000US0807050,807050,NORTH PARK,NORTH PARK R-1,Accredited,1410,66,218,232,230,211,196,206,213,190,197,192,-14,13138,0,13138,N/A,-6.8,1329,155,43,46014,94,38,34,166,0.1927,0.482352941,0.078125,0.223958333,0.259,0,43,48,94,-5,-14,7304560869,472651.7483
10,1037,8,7080,807080,Huerfano School District RE-1,0,PK,12,G5420, ,E,3541350701,5195636,37.7168395,-104.9480641,3.83346314,0.362424861,97000US0807080,807080,HUERFANO,HUERFANO RE-1,Improvement,1390,44,702,691,620,575,554,520,511,537,548,562,42,8490,0,8490,N/A,8.1,5101,955,131,29928,387,242,197,826,0.6584,0.771863118,0.010676157,0.135231317,0.1586,0,103,0,387,139,197,5677831668,466914.6635
11,1038,8,7110,807110,Walsh School District RE-1,0,PK,12,G5420, ,E,1986855945,869101,37.3318054,-102.1743828,2.160328917,0.202087627,97000US0807110,807110,WALSH,WALSH RE-1,Accredited,230,69,156,155,167,178,161,158,156,156,176,167,9,13350,0,13350,N/A,5.7,933,120,29,42083,46,16,33,96,0.2216,0.559701493,0.023952096,0.101796407,0.3021,0,15,41,46,1,-8,3149456806,277687.0771
12,1039,8,7140,807140,Weldon Valley School District RE-20J,0,PK,12,G5420, ,E,477925477,14186573,40.4322461,-104.0330005,1.154283816,0.052211033,97000US0807140,807140,WELDON,WELDON VALLEY RE-20(J),Improvement,2505,65,225,221,211,222,212,210,221,244,247,230,20,12164,45,12209,N/A,9.5,769,45,8,48333,37,26,38,100,0.1652,0.413461538,0,0.12173913,0.08,116,15,66,-79,11,-28,849720608.6,149901.3488
13,1040,8,7200,807200,Custer County School District C-1,0,PK,12,G5420, ,E,1753494167,3258533,38.1006637,-105.4101323,2.365502378,0.180444356,97000US0807200,807200,WESTCLIFFE,CUSTER COUNTY SCHOOL DISTRICT C-1,Accredited,860,69,519,514,489,454,443,414,411,397,393,373,-41,9577,0,9577,N/A,-9.9,3805,736,115,31627,264,133,181,579,0.0804,0.495677233,0,0.115281501,0.1986,170,76,127,94,57,54,2841595122,291061.5232
14,1041,8,7230,807230,Westminster School District 50,0,PK,12,G5420, ,E,37187500,1388761,39.8327009,-105.0273739,0.350386854,0.004058659,97000US0807230,807230,WESTMINSTER,WESTMINSTER PUBLIC SCHOOLS,Priority Improvement,70,42,9969,9724,9862,10049,10124,10069,10101,10161,9504,9638,-431,8051,897,8948,N/A,-4.3,73576,12325,2939,49030,6057,2816,3685,12558,0.8476,0.822281167,0.393753891,0.114027807,0.234,1092,826,0,4965,1990,3685,65494058.97,45591.62843
